,attribute_1,attribute_2,attribute_3,label
0,0.882026173,0.38273243,10.27798134,0
1,0.846784852,-0.034242281,9.799530696,0
2,1.772898588,1.096346846,8.505312992,0
3,3.021189604,-0.234215801,8.151614011,0
4,3.422707686,-0.347450652,7.625097971,0
5,2.550487722,-0.581268477,7.061613311,0
6,4.018020219,-1.632634526,6.727410782,0
7,3.917168171,-1.567767724,5.09811441,0
8,4.330350843,-1.179157931,5.593377696,0
9,4.909795235,1.301428072,5.415020817,0
10,5.027705169,0.895260273,4.544151442,0
11,5.859013889,1.374964066,5.705115718,0
12,5.611133467,-1.332211655,4.85016503,0
13,5.311492192,-1.96862469,5.531047688,0
14,5.413928992,-0.66005632,4.412741113,0
15,5.222720948,0.175818953,4.490466155,0
16,5.591816081,0.498690275,5.267349566,0
17,4.459741858,1.047972156,4.598334828,0
18,4.369821508,0.284279671,5.894195139,0
19,3.376449183,1.742668781,6.245112563,0
20,2.063232957,-0.222605681,7.168104776,0
21,3.156419352,-0.913079218,7.520910617,0
22,2.713722626,-1.681218215,7.509756798,0
23,1.333288769,-0.888971358,7.746880393,0
24,2.242505404,0.242117961,9.748524519,0
25,-0.226180833,-0.888720257,9.102940486,0
26,-0.082744825,0.936742464,9.582861805,0
27,-0.795959197,1.412327706,10.15993924,0
28,-0.513110912,-2.369586905,11.83815318,0
29,-1.092926661,0.8640523,11.56815594,0
30,-2.260250144,-2.239604059,11.96087162,0
31,-2.612411785,0.401499055,12.87033796,0
32,-3.655176523,1.224870564,13.10781129,0
33,-4.550715216,0.064856106,13.22126925,0
34,-4.016728612,-1.279689173,14.21976827,0
35,-3.975705291,-0.585431204,14.58653752,0
36,-3.574848028,-0.261645446,14.68265212,0
37,-3.647460752,-0.182244784,14.63211051,0
38,-4.422274005,-0.202896841,14.42992336,0
39,-4.281024503,-0.109882779,13.24192913,0
40,-4.477955858,0.213480049,14.78830478,0
41,-4.412500944,-1.208573654,13.85348658,0
42,-4.233091356,-0.24201983,13.68403447,0
43,-2.015455069,1.51826117,13.54832393,0
44,-2.795798093,-0.384645423,13.25764825,0
45,-2.256159805,-0.443836093,12.24632166,0
46,-2.113322363,1.078197304,11.70469776,0
47,-0.509993818,-2.559184666,10.59912686,0
48,-1.088474512,1.181378601,10.29807046,0
49,0.24892762,-0.631903758,9.21762161,0
50,0.554270727,0.163928572,8.638025726,0
51,1.842161505,0.096321356,7.904502543,0
52,2.030131035,0.942468119,7.63645445,0
53,2.31243092,-0.267594746,7.621799582,0
54,3.476841585,-0.678025782,8.094554687,0
55,4.255296606,1.297845791,6.053619148,0
56,4.57823863,-2.364173817,4.780813438,0
57,5.146086732,0.020334182,5.637640882,0
58,5.06680323,-1.347925423,4.465643785,0
59,5.525129409,-0.761573388,3.963195711,0
60,5.621457167,2.011256681,4.147237348,0
61,5.954104563,-0.044595426,3.245806557,0
62,5.826045471,0.195069697,3.87861297,0
63,5.389517391,-1.781562856,3.703153546,0
64,6.282714455,-0.729044659,3.85518757,0
65,5.856997324,0.196557401,4.132820335,0
66,5.031681379,0.354757693,4.186965576,0
67,5.795716126,0.616886554,4.443844044,0
68,4.761642483,0.008627899,4.926865595,0
69,4.831473759,0.527004208,5.402199252,0
70,4.706277154,0.453781913,5.142526897,0
71,3.896105517,-1.829740411,5.453390309,0
72,3.853208877,0.037005722,6.685672439,0
73,2.088962377,0.767902408,6.577256968,0
74,2.31080292,0.589879821,7.934133636,0
75,1.160600967,-0.36385881,8.966367426,0
76,0.46098135,-0.805626508,9.407175912,0
77,0.010211904,-1.118311924,9.17627806,0
78,-0.433272777,-0.131054012,9.847365285,0
79,-0.797519367,1.13307988,10.98975269,0
80,-1.918294769,-1.951804101,11.13507095,0
81,-1.349075793,-0.65989173,11.64116139,0
82,-1.976448421,-1.139802455,12.50773288,0
83,-3.326434817,0.784957521,12.06466963,0
84,-2.096642432,-0.554309627,12.64015117,0
85,-2.10393118,-0.470637658,12.65183453,0
86,-2.598599574,-0.21694957,12.66642461,0
87,-3.336609086,0.445393251,12.81810757,0
88,-3.761982899,-0.392388998,13.56533767,0
89,-2.600643256,-3.046143055,13.15377931,0
90,-3.153263841,0.543311891,12.51209505,0
91,-2.089265433,0.439042958,12.58493716,0
92,-2.273814764,-0.219541028,11.5585486,0
93,-1.500519241,-1.084036621,11.62218236,0
94,-1.360784796,0.351780111,12.61375526,0
95,-0.681832062,0.379235534,10.98999672,0
96,-0.479670665,-0.470032883,10.85075014,0
97,0.996200259,-0.216731471,9.8639908,0
98,0.783934466,-0.930156503,9.453606198,0
99,1.55829645,-0.178589092,8.974327277,0
100,2.945583365,-1.550429345,7.443683685,0
101,1.976834733,0.417318821,7.333817607,0
102,2.652295113,-0.944368491,7.501894985,0
103,4.389449374,0.238103148,5.697498705,0
104,3.906375005,-1.405962916,5.223843366,0
105,6.014945271,-0.590057646,4.803019683,0
106,5.340174536,-0.110489405,4.58752801,0
107,5.623127385,-1.660699812,4.265604141,0
108,7.347439298,0.115147873,4.247737543,0
109,7.448761396,-0.379147563,3.541245117,0
110,7.893470879,-1.742356198,3.009282038,0
111,7.588907481,-1.303242754,3.493698413,0
112,6.804009778,0.605120084,3.117432891,0
113,8.209695177,0.895555986,1.997497542,0
114,7.062003706,-0.13190864,4.067178728,0
115,7.461119998,0.404761812,3.825068894,0
116,7.322410545,0.223843563,3.067108328,0
117,6.48882396,0.329622982,3.622626045,0
118,6.524335358,1.285984007,4.444883702,0
119,6.268608405,-1.506998398,4.106394535,0
120,5.531948646,0.676460732,5.021440014,0
121,4.283917675,-0.382008956,5.718671167,0
122,4.43463163,-0.224258934,5.207074503,0
123,4.371572244,-0.30224973,5.990454778,0
124,2.764352178,-0.375147117,7.349068091,0
125,2.43019275,-1.226196192,7.725397219,0
126,1.680807157,0.183339199,8.563514348,0
127,2.226272609,1.670943033,8.632075248,0
128,1.060654876,-0.05613302,9.130989897,0
129,0.380132888,-0.001385043,8.824278292,0
130,-0.718673878,-0.687299037,9.760715627,0
131,-0.527860433,-0.117474546,10.82101808,0
132,-1.544441963,0.466166426,11.61955424,0
133,-1.540393687,-0.370242441,11.82189815,0
134,-2.15668756,-0.453804041,11.77464353,0
